Week,Tests Performed,Positive Tests (%),Confirmed Cases,Confirmed per 100k,Rt,Deaths,Total Confirmed,Total Deaths
01/02/2021–07/02/2021,298150,5.6,14537,188.86,0.82,411,522831,19796
25/01/2021–31/01/2021,342504,6.46,20279,263.46,0.94,558,505961,19472
18/01/2021–24/01/2021,383357,6.76,24074,312.77,0.98,548,483972,18914
11/01/2021–17/01/2021,342451,8.6,27161,352.87,1.09,481,458437,18366
04/01/2021–10/01/2021,234484,10.94,24480,318.04,1.35,428,428167,17885
28/12/2020–03/01/2021,209351,9.7,19500,253.34,1.51,281,406443,17457
21/12/2020–27/12/2020,239712,6.06,13963,181.41,1.03,275,387272,17176
14/12/2020–20/12/2020,264602,5.11,13380,173.83,1.28,237,373091,16901
07/12/2020–13/12/2020,200839,4.72,9408,122.23,1.38,271,359438,16664
30/11/2020–06/12/2020,228837,3.64,7942,103.18,0.98,326,349900,16393
23/11/2020–29/11/2020,194871,4.7,8865,115.17,0.95,341,340900,16067
16/11/2020–22/11/2020,181974,6.77,11342,147.35,0.79,402,331412,15726
09/11/2020–15/11/2020,213407,8.37,16731,217.37,0.77,461,318669,15324
02/11/2020–08/11/2020,261166,10.29,25404,330.05,0.88,504,299946,14863
26/10/2020–01/11/2020,281195,11.49,31253,406.04,0.96,396,270289,14359
19/10/2020–25/10/2020,255384,13.16,33448,434.56,1.41,235,235037,13963
12/10/2020–18/10/2020,178545,10.99,20200,262.44,1.48,149,203397,13728
05/10/2020–11/10/2020,160188,8.58,14230,184.88,1.48,115,186294,13579
28/09/2020–04/10/2020,144109,6.25,9149,118.86,1.29,96,172887,13464
21/09/2020–27/09/2020,124073,5.69,7173,93.19,0.95,83,161684,13368
14/09/2020–20/09/2020,111517,7.1,7873,102.29,1.31,85,154589,13285
07/09/2020–13/09/2020,87462,7.69,6602,85.77,0.93,66,146234,13200
31/08/2020–06/09/2020,104848,7.12,7173,93.19,0.99,79,139367,13134
24/08/2020–30/08/2020,109216,7.21,7912,102.79,1.06,73,131070,13055
17/08/2020–23/08/2020,91539,8.24,7488,97.28,1.16,68,122335,12982
10/08/2020–16/08/2020,85140,7.94,6660,86.53,1.09,71,114437,12914
03/08/2020–09/08/2020,83797,7.76,6341,82.38,1.01,57,107520,12843
27/07/2020–02/08/2020,81551,8.36,6686,86.86,1.06,72,100668,12786
20/07/2020–26/07/2020,78397,8.42,6677,86.75,1.18,59,91337,12714
13/07/2020–19/07/2020,58426,8.95,5451,70.82,1.63,21,83631,12655
06/07/2020–12/07/2020,42244,6.44,2919,37.92,1.82,24,76619,12634
29/06/2020–05/07/2020,35167,3.65,1364,17.72,1.69,28,73330,12610
22/06/2020–28/06/2020,30153,2.27,718,9.33,1.37,22,71430,12582
15/06/2020–21/06/2020,35862,1.48,526,6.83,1.05,39,70534,12560
08/06/2020–14/06/2020,40369,1.46,571,7.42,0.8,51,69674,12521
01/06/2020–07/06/2020,42581,1.86,746,9.69,0.92,73,68499,12470
25/05/2020–31/05/2020,54201,2.16,1110,14.42,0.85,112,67060,12397
18/05/2020–24/05/2020,60103,2.63,1460,18.97,1.23,172,65060,12285
11/05/2020–17/05/2020,49903,2.47,1234,16.03,1.11,241,63441,12113
04/05/2020–10/05/2020,46482,2.62,1309,17.01,0.83,485,60728,11872
27/04/2020–03/05/2020,52587,3.54,2038,26.48,0.64,717,57506,11387
20/04/2020–26/04/2020,56762,9.36,4510,58.59,0.84,1082,49088,10670
13/04/2020–19/04/2020,43292,17.75,6940,90.16,0.83,1689,42610,9588
06/04/2020–12/04/2020,36038,23.63,7676,99.73,0.78,2368,34726,7899
30/03/2020–05/04/2020,32401,31.98,8928,115.99,0.75,2648,26824,5531
23/03/2020–29/03/2020,28910,43.38,11714,152.19,1.13,2055,16157,2883
16/03/2020–22/03/2020,20356,37.78,8963,116.45,2.98,661,5925,828
09/03/2020–15/03/2020,7215,21.12,2222,28.87,5,160,903,167
02/03/2020–08/03/2020,319,5.41,72,0.94,0,7,82,7
24/02/2020–01/03/2020,22,0,2,0.03,0,0,14,0
